<1-99>           Session number to resume
access-enable    Create a temporary Access-List entry
access-profile   Apply user-profile to interface
avc              AVC service configure
clear            Reset functions
codecov          request cflow command
connect          Open a terminal connection
crypto           Encryption related commands.
disable          Turn off privileged commands
disconnect       Disconnect an existing network connection
do-exec          Mode-independent "do-exec" prefix support
enable           Turn on privileged commands
exit             Exit from the EXEC
help             Description of the interactive help system
lock             Lock the terminal
login            Log in as a particular user
logout           Exit from the EXEC
mrinfo           Request neighbor and version information from a multicast router
mstat            Show statistics after multiple multicast traceroutes
mtrace           Trace reverse multicast path from destination to source
name-connection  Name an existing network connection
ping             Send echo messages
release          Release a resource
renew            Renew a resource
resume           Resume an active network connection
routing-context  Routing Context
set              Set system parameter (not config)
show             Show running system information
ssh              Open a secure shell client connection
stack-mac        Stack-Mac commands
systat           Display information about terminal lines
tclquit          Quit Tool Command Language shell
telnet           Open a telnet connection
terminal         Set terminal line parameters
traceroute       Trace route to destination
tunnel           Open a tunnel connection
where            List active connections
wireless         Configure wireless parameters

